label,official_nature,model,model_pred,verdict,explanation
Boite a chaussures homme en plastique lot de 5,Boite de rangement,ensemble,Meuble à chaussures,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Couette dodo scandinave 220 x 240 cm pour lit 2 places 140 x 190 cm à 160 x 200 cm,Couette,ensemble,Lit adulte,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Sablier,Decoration de noel,ensemble,Ustensiles,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Lot de 2 fauteuils velours king noir,Fauteuil,ensemble,Chaise,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Chilienne biarritz tulipe,Bain de soleil,ensemble,Chaise,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Ecouteurs bluetooth avec micro,Ecouteurs,ensemble,Enceinte connectée,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Tapis uni anti dérapant protect 50x120cm rouge,Tapis de cuisine,ensemble,Tapis de Salon et Ch,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Taille crayon en forme de poubelle taille crayons avec recipient couleur rouge,Jeu éducatif,ensemble,Accessoire bureau,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Table d appoint vinyle rouge,Table basse,ensemble,Table,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Coussin de sol rond en jute ritual,Pouf / repose pied,ensemble,Bain de soleil,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Méridienne capitonné en velours bleu shima angle droit,Méridienne,ensemble,Canapé d'angle,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Chariot en acier magnélis,Accessoire Barbecue,ensemble,Ustensiles,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Arbre à bijoux tesora base résine effet terrazzo et tiges chrome,Portant,ensemble,Objet deco,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Mila banquette clic clac 3 places motif new york jaune slyle contemporain l 190 x p92 cm,Structure et mat cc,ensemble,Banquette,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Tectake etagère pour plantes angle 3 niveaux,Objet deco,ensemble,Etagère,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Corbeille à papier skinny,Poubelle cuisine,ensemble,Papier peint,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Canapé yoko pvc rouge cadre bois,Friteuse,ensemble,Canape droit,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Réveil station météo thermomètre lcd rétro éclairage couleur projecteur led noir yonis,Reveil,ensemble,Lampadaire,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Meuble rangement chaussures avec miroir adam fabrication fran aise,Porte chaussures,ensemble,Meuble à chaussures,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Icaverne bancs coffres categorie banc banquette coffre de rangement noir taille large,Banc,ensemble,Coffre,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Meuble bas four blanc collection mammy,Element bas SDB,ensemble,Chiffonnier,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Fortnite emotes housse de couette 100 coton 1 personne 140x200 cm + 1 taie bleu,Parure de lit,ensemble,Housse de couette,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Buffet led bogota 155 x 40 x 92 cm blanc laqué,Console,ensemble,Buffet,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Grande armoire de rangement grise dressing double penderie xxl tissu,Accessoire dressing,ensemble,Structure armoire,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Commode en mdf coloris naturel et blanc motif étoiles dim l 85 x l 40 x h 80 cm pegane ,Commode,ensemble,Lit adulte,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Giantex tracteur avec remorque electrique pour enfants 12 v avec télécommande 2 4g avec led musique audio usb et bluetooth rou,Jeu éducatif,ensemble,Véhicule élec enfant,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Sur matelas 180x200 en mousse à mémoire de forme de 10 cm avec rev tement amovible en aloe vera,Meuble à chaussures,ensemble,Surmatelas,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Scie trépan sds 100x160mm,Scie électrique,ensemble,Petit outillage,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Repose pied ergonomique angles ajustables plastique noir,Accessoire bureau,ensemble,Chaise de bureau,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Panier,Boite de rangement,ensemble,Panier,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Ensemble matelas bultex nano neatness 23 cm sommier confort ferme 140x190,Meuble à chaussures,ensemble,Matelas + sommier,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Colonne pour salle de bain en bois blanc gris 30 x 29 5 x 90 cm,Rangement sdb,ensemble,Colonne sdb,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Video projection optoma eh461,Videoprojecteur,ensemble,Ecran de projection,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Coffre de jardin en résine diva anthracite,Armoire de jardin,ensemble,Salon de jardin,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Matelas mousse 120x200 ,Meuble à chaussures,ensemble,Matelas,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Babymoov babybols kit m 6 x 180 ml pots de conservation hermétiques,Boites conservation,ensemble,Matelas,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Miroir lumineux led grossissant de salle de bain 36 w interrupteur tactile 60l x 80h cm,Miroir,ensemble,Miroir salle de bain,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
2 pare soleil enrouleur,Accessoire de voyage,ensemble,Bain de soleil,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Stanley rabot bailey varlope 455 x 60 mm 1 12 006,Petit outillage,ensemble,Parure de lit,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
 tagère de niche à roulettes en bois tour de rangement meuble de rangement cuisine salle de bain chariot placard alc ve chariot ,Chariot de courses,ensemble,Rangement sdb,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Set de table ovale 30x45cm rouge,Decoration de table,ensemble,Table,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Canapé convertible en tissu vert senja,Deplimousse,ensemble,Canape droit,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Pied de lampadaire liseuse mix and match argenté en métal,Lampadaire liseuse,ensemble,Lampadaire,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Bouchon champagne saver vacuvin,Carafe,ensemble,Set verre,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Four électrique à convection 2000w capacité 46 l et température max 360 Couleur noir,Four,ensemble,Mini four,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Canapé 2 places design relax oslo en cuir gris et blanc ,Friteuse,ensemble,Canape droit,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Housse bz matelassée blanche 140 cm,Canape droit,ensemble,Housse de coussin,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Songmics armoire etagère de rangement à chaussures en plastique blanche semi transparente 4 x 4 cubes 113 x 36 x 113 cm l x l x,Etagère,ensemble,Meuble à chaussures,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Applique murale led liseuse snaky argentée en métal,Spoterie,ensemble,Applique,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Fauteuil design noir pivotant elina,Tabouret,ensemble,Fauteuil,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Abril buffet 2 portes 2 tiroirs aspect bois,Petit meuble séjour,ensemble,Buffet,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Disney gigoteuse naissance 0 6 mois winnie hello funshine 65 cm pression velours 100 polyester,Gigoteuse,ensemble,Matelas,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Porte chaussures fixe 18 paires,Porte chaussures,ensemble,Meuble à chaussures,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
 anaelle canapé droit 2 places convertible déplimousse en tissu couleur gris foncé ,Friteuse,ensemble,Canape droit,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Drap housse uni 90x190 cm zzz jaune,Drap plat,ensemble,Drap housse,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Oiseau à détecteur de mouvement polyrésine h 10 cm,Accessoire jardin,ensemble,Objet deco,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Twist tresse tour de lit bébé protection multifonctions 200 cm jaune,Tour de lit,ensemble,Lit bébé,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Support étagère murale métal noir cali carré 19,Objet deco,ensemble,Etagère,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
E com table de salon hades 90 x 60 cm noir mat,Table basse,ensemble,Table,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Séchoir aluccom gimi 20 m d étendage 172 x 56 x 93 cm,Etendoir a linge,ensemble,Matelas,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Vidaxl cadre de lit à baldaquin gris métal 200 x 200 cm,Lit adulte,ensemble,Cadre à lattes,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
At4 chaise haute évolutive sakura,Chaise haute bébé,ensemble,Chaise,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Porte verres pour étagère noir,Boite de rangement,ensemble,Etagère,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Logitech casque gaming filaire g432 avec son surround 7 1,Casque sans fil,ensemble,Clavier souris,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Coussin à pompons en coton à feuille tropicale 40 x 40 cm,Coussin,ensemble,Housse de coussin,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Parasol chauffant oslo chauffage d extérieur gaz acier inox + housse et table,Parasol chauffant,ensemble,Parasol,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Vidaxl cadre de lit gris métal 120 x 200 cm,Lit adulte,ensemble,Cadre à lattes,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Continental edison plancha xxl cegpl87,Autre cuisson,ensemble,Plaque de cuisson,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Jouet à tirer 20cm pierre lapin original,Jouet 1er âge,ensemble,Jeu de pied,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Ensemble Otello votre marque de matelas pour dormir comme à l h tel 160x200cm,Matelas,ensemble,Matelas + sommier,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Table à langer avec baignoire et rangements vert,Table a langer,ensemble,Table,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Pose ensemble salle de bain Ensemble de salle de bain complet,Pose Ensemble Salle de bain,ensemble,Ensemble sdb,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Marjolein bastin coquillages housse de couette 100 coton 1 personne 140x200 220 cm + 1 taie blanc,Housse de couette,ensemble,Parure de lit,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Matelas + sommier 140x190 cm,Meuble à chaussures,ensemble,Matelas + sommier,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Pèse bébé topcom wg2490 digital baby scale,Balance de cuisine,ensemble,Matelas,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Table console plazig bois de ch ne,Bureau,ensemble,Console,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Portant penderie à v tement porte manteau étagère pour chaussures hsr05w songmics,Portant,ensemble,Meuble à chaussures,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Trepied universel gorillapod intermediaire flexible camera appareil photo reflex yonis,access photo video,ensemble,Objet deco,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Jeu de 6 rideaux pour la tonnelle santorini 3 x 4 m ardoise,Pied de parasol,ensemble,Tonnelle,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Drap housse 200x200 cm en coton uni 57 fils cm2 par soleil d ocre ecru,Drap plat,ensemble,Drap housse,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Meuble de rangement placard buffet industriel marron helloshop26 12_0000669,Commode,ensemble,Buffet,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Monaco 12 salon de jardin encastrable 12 places en résine tressée noir gris,Ens table chaises,ensemble,Salon de jardin,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Meuble lave linge étagère de salle de bain 190x60cm béton gris,Rangement sdb,ensemble,Element bas SDB,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Bullyland 12065 set de 2 figurines le monde de dory nemo,Poupée et poupon,ensemble,Figurine et robot,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
Serpillère moppy,Accessoire aspi,ensemble,Pouf / repose pied,error,"Error code: 400 - {'error': {'message': ""Unsupported value: 'temperature' does not support 0.0 with this model. Only the default (1) value is supported."", 'type': 'invalid_request_error', 'param': 'temperature', 'code': 'unsupported_value'}}"
