label,official_nature,model,model_pred,model_conf,verdict,explanation
Eh tw740,Videoprojecteur,knn_conformity,Matelas,0.2,nature,"«EH-TW740» correspond à un modèle de vidéoprojecteur (ex. Epson EH‑TW740). L’étiquette ne suggère pas un matelas, donc la catégorie officielle est plus plausible."
Vase cyclindrique métal doré,Vase,knn_conformity,Porte manteau,0.15,nature,Le libellé décrit clairement un vase («Vase cylindrique métal doré»). «Porte manteau» est non pertinent pour un objet destiné à contenir des fleurs/ornement.
Paris prix lot de 2 poufs coffres de rangement zora 44cm bleu,Pouf / repose pied,knn_conformity,Tringlerie,0.15,nature,"Le produit est un lot de poufs/coffres de rangement (Zora 44cm bleu), donc la catégorie officielle 'Pouf / repose pied' est appropriée ; 'Tringlerie' est hors sujet."
Tosel square plafonnier acier noir 1xe27 abat jour carré acier noir 25 x 27 cm noir,Plafonnier,knn_conformity,Drap housse,0.15,nature,"Le libellé décrit clairement un plafonnier/abat-jour en acier avec '1xE27' (culot d'ampoule) et dimensions — il s'agit d'un luminaire, pas d'un drap‑housse."
Vaisselier argentier industriel ch ne noir mauricio,Vitrine,knn_conformity,Fauteuil,0.15,nature,"Le libellé décrit un vaisselier/argentier (meuble de type vitrine/buffet en chêne noir, style industriel) — 'Vitrine' est cohérent ; 'Fauteuil' ne correspond pas au produit."
Ultrasharp u2721de 27 usb c hub neg,Ecran PC,knn_conformity,Centrale vapeur,0.15,nature,Le libellé correspond clairement à un écran Dell Ultrasharp 27 pouces avec hub USB‑C (U2721DE). La prédiction 'Centrale vapeur' est incompatible.
42107 ducati panigale v4 r lego r technic,Jeu de construction,knn_conformity,Cuisiniere,0.2,nature,"Le libellé correspond au set LEGO Technic 42107 (Ducati Panigale V4 R), donc un jeu de construction ; la prédiction «Cuisiniere» est inappropriée."
Cheval a bascule sonique et musical,Jeu éducatif,knn_conformity,Chevet,0.15,nature,"Un «cheval à bascule sonique et musical» est clairement un jouet pour enfant (jeu/activité éducative), la prédiction «chevet» (meuble de nuit) est inappropriée."
Housse de v tement 100x60 cm,Housse vetement,knn_conformity,Matelas + sommier,0.15,nature,Le libellé «Housse de vêtement 100x60 cm» décrit clairement une housse pour vêtements (dimensions cohérentes) ; ce n'est pas un matelas ni un sommier.
Manga safe full siege auto grand confort 2 en 1 groupe 2 3 noir,Siège auto,knn_conformity,Canape droit,0.2,nature,"Le libellé contient explicitement «siège auto» et mentionne «groupe 2/3» et «2 en 1», typiques d’un siège auto enfant — la prédiction «Canape droit» est incompatible."
Coussin galette de chaise 4 rabats 36 x 36 cm lin panama,Galette de chaise,knn_conformity,Housse de coussin,0.3,nature,"Le libellé indique clairement 'Coussin galette de chaise' avec dimensions et 4 rabats : il s'agit d'un coussin de siège (galette), pas d'une simple housse de coussin."
Batterie pat patrouille,Jeu d'imitation,knn_conformity,Casserole,0.25,nature,Ici « batterie » désigne très vraisemblablement une batterie/jouet musical Pat' Patrouille pour enfants (jouet d'imitation) ; la prédiction « Casserole » confond avec « batterie de cuisine » et est peu plausible.
Atmosphera panier à linge pliable h 61 cm,Panier,knn_conformity,Tapis de Salon et Ch,0.3,nature,"Le libellé indique clairement un ""panier à linge pliable"" de 61 cm ; la catégorie officielle ""Panier"" est cohérente. La prédiction du modèle concerne des tapis, ce qui ne correspond pas au produit."
Chevet contemporain 2 tiroirs coloris ch ne clair karina,Chevet,knn_conformity,Chaise,0.25,nature,"Le libellé contient explicitement 'Chevet' et '2 tiroirs' (meuble de chevet) — il s'agit d'une table de chevet, pas d'une chaise."
Peluche pyjamasque bibou 34 cm,Poupée et poupon,knn_conformity,Parure de lit,0.25,nature,"Libellé = 'peluche' de 34 cm, un jouet en tissu/représentation de personnage (Bibou) — correspond à 'Poupée et poupon'. 'Parure de lit' (linge de lit) n'est pas pertinent."
Platine disques usb sd fonction enregistrement ibiza sound lp300,Platine vinyle,knn_conformity,Chaine audio,0.25,nature,"Le libellé indique explicitement «Platine disques» (tourne-disques) avec USB/SD et fonction enregistrement — il s'agit d'une platine vinyle dédiée, pas d'une chaîne audio multifonction."
Inedit nuancemeuble porte parapluies tegucigalpa noir l16 x p16 x h48 cm,Porte manteau,knn_conformity,Parasol,0.3,model,Le libellé contient clairement «porte parapluies» (support pour parapluies) : la prédiction liée aux parapluies/parasol est plus proche que «Porte manteau». La catégorie exacte serait plutôt «porte-parapluies».
Vernis décoration brillant incolore soloplast 200ml,Visserie consommable,knn_conformity,Image/affiche/poster,0.3,both_wrong,"Il s'agit d'un vernis décoratif incolore 200 ml (produit de bricolage/peinture/finition). Ce n'est ni de la visserie consommable, ni une image/affiche/poster."
Plaque publicitaire carrée décorative le bain thème carte postale salle d eau en fer 0 1x30x30cm,Objet deco,knn_conformity,Applique,0.25,nature,"Il s'agit d'une plaque publicitaire/décorative en fer pour salle d'eau (30×30 cm), pas d'un luminaire. La catégorie 'Objet deco' est donc la plus plausible."
Tapis utopia 113 noir 100x100cm,Tapis de Salon et Ch,knn_conformity,Drap plat,0.25,nature,"Le libellé indique clairement un tapis (Tapis utopia, 100x100 cm, noir) — il ne s'agit pas d'un drap plat; la catégorie officielle est cohérente."
Etagère en bambou rangement salle de bain étagère à chaussures étagère à livres bcb33y,Petit meuble séjour,knn_conformity,Element bas SDB,0.25,model,Le libellé indique explicitement 'rangement salle de bain' et décrit une étagère en bambou pour SDB — la prédiction liée à la salle de bain est donc plus cohérente que 'Petit meuble séjour'.
Chaise enfant pieds bois atmosphera bleu,Rangement enfant,knn_conformity,Fauteuil,0.3,model,"Il s'agit d'une chaise enfant (siège) — pas d'un rangement. La prédiction 'Fauteuil' est plus proche que 'Rangement enfant', même si 'fauteuil' n'est pas parfaitement précis."
Bac en plastique 45L,Boite de rangement,knn_conformity,Suspension,0.25,nature,"Un « bac en plastique 45L » est clairement un contenant de rangement (boîte/ bac), la prédiction « Suspension » (luminaire) est non pertinente."
Lit banquette 90x190 cm,Lit jeune,knn_conformity,Lit adulte,0.25,nature,Les dimensions 90x190 et l'appellation «lit banquette» correspondent typiquement à un lit simple pour jeune; la classification «lit adulte» est moins probable.
Meuble wc wave blanc et ch ne naturel,Colonne sdb,knn_conformity,Abattant wc,0.3,nature,"Le libellé commence par «Meuble wc» et décrit un meuble (modèle Wave, blanc et chêne naturel) — il s'agit d'un mobilier de salle de bain/colonne plutôt que d’un abattant de WC."
Armoire de toilette le bohème 41 5 cm x 43 5 cm hxl ,Elément Haut SDB,knn_conformity,Rangement sdb,0.3,nature,«Armoire de toilette» désigne un meuble mural/haut de salle de bain ; la catégorie officielle «Elément Haut SDB» est plus précise. La prédiction «Rangement sdb» est trop générique.
Klarfit power forge lot d haltères 4x barres et 14x poids total 97 5kg prises chromées,Haltère et poids,knn_conformity,Jeu de pied,0.3,nature,"Le libellé décrit un lot d'haltères, barres et poids (97,5 kg) — équipement de musculation. «Jeu de pied» est hors sujet."
Kit de 2 lingettes + 1 cartouche pour petit electromenager rowenta zr006501,Pièces détachées,knn_conformity,Housse de couette,0.3,nature,Kit de 2 lingettes et 1 cartouche pour petit électroménager Rowenta est un accessoire/consommable/pièce détachée — ce n'est pas une housse de couette.
Armoire 3 portes battantes bois blanchi rose lomlom l 90 x l 52 x h 200 cm,Armoire,knn_conformity,Buffet,0.3,nature,Le libellé indique explicitement «Armoire 3 portes battantes» et une hauteur de 200 cm; un buffet est généralement bas et destiné au rangement/servir en salle à manger — la catégorie officielle «Armoire» est la plus plausible.
Giantex chaise pliable rembourrée en forme hexagone chaise de salon rangement pratique moon chair 60 x 60 x 87cm,Chaise,knn_conformity,Chaise de bureau,0.25,nature,"Le libellé décrit une chaise pliable rembourrée de salon/moon chair (usage détente, dimensions indiquées), pas une chaise de bureau ergonomique : la catégorie officielle «Chaise» est donc plus appropriée."
Pommeau de douche chromé douchette à main 5 jets au choix type universel,Accessoire sdb,knn_conformity,Colonne de douche,0.3,nature,"Il s'agit d'une douchette/pommeau à main chromé (5 jets) — un accessoire de salle de bains universel, pas une colonne de douche intégrée."
Tente de jardin pergola aluminium 3x3m condate gris toile rétractable et coulissante tonnelle,Pergola,knn_conformity,Tonnelle,0.4,nature,Le libellé contient explicitement « pergola » et décrit une structure aluminium 3x3m avec toile rétractable/coulissante — caractéristiques d'une pergola plutôt que d'une tonnelle.
Etagère de salle de bain marsa meuble de rangement au dessus des toilettes wc ou lave linge avec 3 tablettes en métal laqué noi,Accessoire wc,knn_conformity,Rangement sdb,0.4,model,Il s'agit d'une étagère/meuble de rangement à placer au-dessus des toilettes ou du lave-linge pour la salle de bain — correspond mieux à «Rangement sdb» qu'à un simple accessoire WC.
Varia armoire 2 portes décor chene l81 cm,Structure armoire,knn_conformity,Armoire,0.35,model,"Le libellé décrit directement une armoire 2 portes; la prédiction 'Armoire' correspond précisément au produit, alors que 'Structure armoire' est plus générale/vague."
Table de cuisson mixte,Plaque de cuisson,knn_conformity,Table,0.4,nature,«Table de cuisson mixte» désigne un appareil de cuisson (plaque/plan de cuisson mixte gaz+électrique). La catégorie officielle «Plaque de cuisson» est correcte ; «Table» renvoie au mobilier et est inappropriée.
Lunette de soleil spiderman disney enfant ete,Bain de soleil,knn_conformity,Lit jeune,0.4,both_wrong,Il s'agit de lunettes de soleil enfant Spiderman — ni «Bain de soleil» (transat) ni «Lit jeune» ne correspondent. Catégorie attendue: lunettes de soleil/enfant.
L udaberri lot de 2 transats inclinables gris foncé,Bain de soleil,knn_conformity,Chaise,0.35,nature,"«transat inclinable» désigne clairement un bain de soleil/chair longue pour extérieur ; la catégorie officielle «Bain de soleil» est correcte, «Chaise» est trop générique et inappropriée."
Matelas mousse 120x200 2 personnes,Matelas + sommier,knn_conformity,Matelas,0.4,model,"Le libellé indique uniquement un «matelas mousse 120x200 2 personnes» sans mention de sommier, donc la catégorie «Matelas» est la plus appropriée."
Porte armoire meuble haut caisson métal casier 2 portes blanc,Porte armoire,knn_conformity,Structure armoire,0.4,nature,"Le libellé contient explicitement 'Porte' et '2 portes', indiquant des éléments de fermeture pour meuble, pas la structure de l'armoire."
Coussin chauffant universel taille petite polyester,Accessoire textile,knn_conformity,Housse de coussin,0.35,nature,"Un «coussin chauffant» est un coussin/appareil chauffant en polyester, pas une simple housse ; la catégorie générale «Accessoire textile» est plus adaptée que «Housse de coussin»."
 lux pro plafonnier led cristal lampe 5 x g9 socle env 54 cm x 38cm lampe à suspension smd lustre,Plafonnier,knn_conformity,Lampadaire,0.35,nature,"Le libellé contient explicitement «plafonnier» et «lampe à suspension» (lustre) avec dimensions compactes — il s'agit d'un luminaire de plafond, pas d'un lampadaire sur pied."
Carte mere x570 aorus ultra am4,Carte mère,knn_conformity,Sommier,0.4,nature,"Le libellé décrit clairement une carte mère PC (chipset X570, socket AM4, modèle Aorus) — la prédiction 'Sommier' est hors sujet."
Topbed lit d enfant gar ons filles 140x70 cm ensemble lit + matelas + sommier meubles chambre d enfant blanc vert,Lit jeune,knn_conformity,Lit adulte,0.35,nature,"Le libellé mentionne « lit d'enfant » et « chambre d'enfant » et les dimensions 140x70 cm, typiques d'un lit pour enfant/junior — la catégorie officielle (Lit jeune) est donc correcte."
Set poignée + entonnoir + bouton cafetière pezzetti 6 tasses,Ustensiles,knn_conformity,Cadre à lattes,0.4,nature,"Poignée, entonnoir et bouton sont des pièces/accessoires pour une cafetière (ustensiles de cuisine). La prédiction «Cadre à lattes» est hors sujet."
Brise vue occultant 1 5 x 10m motif pierre 160 gr m ,Brise vue,knn_conformity,Miroir,0.35,nature,"Le libellé contient explicitement ""Brise vue occultant"" avec dimensions (1,5 x 10 m), motif et grammage (160 g/m) — description typique d’un écran/pare-vue. «Miroir» ne correspond pas à ces caractéristiques."
Etagère escalier 6 casiers en blanc,Etagère,knn_conformity,Bibliotheque,0.35,nature,"Le libellé décrit une «étagère escalier» à 6 casiers (meuble de rangement ouvert) : le terme officiel «Etagère» est plus approprié que «Bibliothèque», qui implique un meuble pour livres."
Lit superposé gigogne 3 couchages en bois blanc leopaul 90 x 190 cm,Lit jeune,knn_conformity,Lit adulte,0.5,nature,Dimension 90×190 cm et lit superposé/gigogne 3 couchages correspondent à des couchages simples pour enfants/ados — 'Lit jeune' est plus plausible que 'Lit adulte'.
Ensemble 160 cm x 200 cm triomphe mousse hr35,Matelas + sommier,knn_conformity,Matelas,0.5,nature,Le terme « Ensemble » avec les dimensions 160x200 et la mention « mousse hr35 » indique un lot literie (matelas + sommier). La prédiction « Matelas » néglige qu'il s'agit d'un ensemble.
Le valentin blanc cadre de lit led en simili et sommier 160 x 200 cm,Lit adulte,knn_conformity,Cadre à lattes,0.45,nature,Le libellé décrit un cadre de lit 160×200 en simili avec sommier pour adulte : la catégorie générale 'Lit adulte' est appropriée. La prédiction 'Cadre à lattes' est plausible mais trop spécifique.
Canapé d angle réversible 4 5 places convertible tissu gris anthracite l 237 x p 154 cm,Canapé d'angle,knn_conformity,Canape droit,0.5,nature,"Le libellé indique explicitement «Canapé d angle réversible», il s'agit d'un canapé d'angle (coin) et non d'un canapé droit."
Repose pieds ajustable solemate,Clavier souris,knn_conformity,Meuble à chaussures,0.45,both_wrong,"«Repose pieds ajustable solemate» est un repose-pieds réglable (accessoire de confort/posture), ce n’est ni un clavier/souris ni un meuble à chaussures."
Lit cosy gigogne play blanc 90x190,Lit jeune,knn_conformity,Lit adulte,0.5,nature,"«Play» et le format gigogne indiquent un lit pour enfants/jeunes ; la taille 90x190 est une simple courante pour lits jeunes/jeunes adultes, pas typiquement un lit adulte."
 pilation et rasage joli quantité 8 unités rechanges pour lame de rasoir mach 3 gillette,Autre soin personne,knn_conformity,Housse de couette,0.45,nature,Le libellé indique des recharges de lames de rasoir Mach3 (produit d'hygiène/soin personnel) ; la prédiction «Housse de couette» est manifestement incorrecte.
Dreamhouse bedding caden housse de couette satin 100 coton grande taille 240x200 220 cm + 2 taies gris,Parure de lit,knn_conformity,Housse de couette,0.5,nature,"Le libellé mentionne une housse de couette mais aussi '+ 2 taies' — il s'agit d'un ensemble (housse + taies), donc 'Parure de lit' est la catégorie la plus appropriée."
Titanium 22 sommier 2x22 lattes 140x190cm,Cadre à lattes,knn_conformity,Sommier,0.5,nature,Le produit est un sommier composé de lattes («2x22 lattes») et les dimensions confirment un cadre à lattes ; la catégorie officielle «Cadre à lattes» est donc plus précise que la prédiction générique «Sommier».
W asy hvp10 defroisseur a main 1500w,Centrale vapeur,knn_conformity,Aspirateur balai,0.45,nature,Le libellé indique un «défroisseur à main 1500W» (steamer) — un appareil vapeur. La catégorie 'Centrale vapeur' est plus proche que 'Aspirateur balai'.
Tectake salon de jardin madere 2 chaises fauteuils 1 banc 1 table marron,Salon de jardin,knn_conformity,Ens table chaises,0.45,nature,"Le libellé décrit un ensemble complet de salon de jardin (chaises, fauteuils, banc, table) : la nature officielle «Salon de jardin» est plus précise que «Ens table chaises», qui ne rend pas compte du fauteuil/banc inclus."
Atmosphera fauteuil en velours bleu canard dossier fleur h 83 cm,Fauteuil,knn_conformity,Chaise,0.5,nature,"Le libellé contient explicitement 'fauteuil' et décrit un siège type fauteuil (velours, dossier haut 83 cm) : la catégorie officielle est correcte, 'chaise' est moins précise."
Buffet led fiona 201 x 40 x 86 cm blanc laqué,Console,knn_conformity,Buffet,0.6,model,Le libellé indique explicitement 'Buffet' et les dimensions (201×40×86 cm) correspondent à un buffet/vaisselier ; une 'console' serait généralement plus étroite et moins haute.
Grand canapé panoramique convertible liberta gris et noir avec lit et surface de couchage,Friteuse,knn_conformity,Canapé d'angle,0.6,model,Le libellé décrit un grand canapé panoramique convertible avec lit et surface de couchage — correspond clairement à un canapé d'angle. «Friteuse» est manifestement inappropriée.
Support de téléphone pour voiture universel mains libres,Objet deco,knn_conformity,Téléphone fixe,0.6,both_wrong,"Un support de téléphone voiture est un accessoire mains‑libres pour mobile, pas un objet déco ni un téléphone fixe."
Piano de cuisson gaz 109l 5 feux inox ge960cmix2,Cuisiniere,knn_conformity,Plaque de cuisson,0.6,nature,«Piano de cuisson» avec «109l» et «5 feux» indique un appareil combinant plaque + four (capacité 109 L) — donc une cuisinière; «plaque de cuisson» serait seulement la table de cuisson.
Filtre à peluches sèche linge bosch 00656033,Accessoire lavage,knn_conformity,Pièces détachées,0.6,model,"Filtre de sèche-linge identifié par un numéro de pièce (00656033) — il s'agit d'une pièce de rechange/remplacement pour appareil, pas d'un accessoire générique de lavage."
Klarstein bolero ventilateur de plafond 134cm 50 db 3 vitesses de rotation éclairage 55w télécommande noir,Plafonnier ventilat,knn_conformity,Hotte,0.55,nature,"Le libellé décrit un ventilateur de plafond avec éclairage et télécommande (134 cm, 3 vitesses) — correspond bien à «Plafonnier ventilat». «Hotte» (hotte de cuisine) est inadaptée."
Fusil nerf n strike elite surgefire,Jeux d'exterieur,knn_conformity,Poele,0.55,nature,"Il s'agit d'un pistolet jouet Nerf (jeu), donc la nature officielle 'Jeux d'exterieur' est cohérente ; la prédiction 'Poele' est hors sujet."
Tosel touvois plafonnier 1 lumière s laiton vieilli,Plafonnier,knn_conformity,Lampadaire,0.55,nature,"Le libellé contient explicitement «plafonnier» (luminaire de plafond) ; «lampadaire» désigne un luminaire sur pied, donc la prédiction du modèle est incorrecte."
Table pique nique bois naturel traité gardiun essential 165x154x75 cm 20 25 mm 6 8 personnes,Ens table chaises,knn_conformity,Table,0.65,model,"Le libellé décrit une «table pique-nique» en bois avec dimensions et capacité (6–8 pers.) — classification simple «Table» est plus adaptée. «Ens table chaises» supposerait un ensemble table+chaises distinctes, non précisé dans le libellé."
Filip lit adulte contemporain simili noir sommier et tete de lit avec led inclus l 180 x l 200 cm,Lit adulte,knn_conformity,Cadre à lattes,0.7,nature,"Le libellé décrit un lit adulte complet (tête de lit, sommier et éclairage LED, dimensions 180×200), pas seulement un cadre à lattes."
Nappe ronde 0 160 cm pvc photoprint marche fermier,Linge de table,knn_conformity,Cadre photo,0.7,nature,"Le produit est une nappe ronde en PVC imprimée (160 cm), clairement du linge de table ; ce n'est pas un cadre photo."
Superbe consoles serie ouagadougou table basse 3 étagères blanc brillant,Table basse,knn_conformity,Console,0.65,nature,"Le libellé contient explicitement «table basse 3 étagères» (meuble bas pour salon) ; «consoles» semble être nom de série/ambiguïté, donc la nature officielle 'Table basse' est la plus plausible."
Matris matelas viscoélastique night confort en graphène de luxe 140 x 190 hauteur 30 cm + 2 fermeté moyenne élevée toutes l,Meuble à chaussures,knn_conformity,Lit adulte,0.65,model,"Le libellé décrit un matelas viscoélastique 140x190 cm (produit de literie) — la prédiction 'Lit adulte' est cohérente, 'Meuble à chaussures' est incorrecte."
Homemania set 4 étagère alfa murales flottantes pour livres pour salon bureau rouge en bois 30 x 16 x 30 cm,Etagère,knn_conformity,Bibliotheque,0.75,nature,"Le libellé indique clairement «étagère murales flottantes» (set de 4) — ce sont des étagères murales, pas une bibliothèque/bibliothèque standard."
Dujardin money drop jeu tv,Jeu de société,knn_conformity,Meuble tv,0.8,nature,"'jeu' et l'éditeur Dujardin indiquent clairement un jeu (adaptation du jeu TV «Money Drop») : 'TV' décrit le format, pas un meuble."
Lot de 3 tables à café en bois mileo 60cm blanc,Table,knn_conformity,Table basse,0.8,model,"Le libellé précise «tables à café» et 60 cm, ce qui correspond clairement à des tables basses — la prédiction 'Table basse' est donc plus précise que la catégorie générique 'Table'."
Greta canapé convertible 3 places en tissu rouge ouverture express matelas 14 cm,Friteuse,knn_conformity,Canape droit,0.9,model,Le libellé décrit un canapé convertible 3 places en tissu avec matelas — la prédiction 'Canape droit' est cohérente. 'Friteuse' est manifestement incorrecte.
Matris matelas viscoélastique de luxe en cachemire 150 x 200 hauteur 15 cm + 2 fermeté moyenne toutes les mesures,Meuble à chaussures,knn_conformity,Matelas,0.9,model,"Le libellé décrit clairement un matelas (dimensions 150×200, viscoélastique, hauteur 15 cm, fermeté), donc la prédiction «Matelas» est correcte ; «Meuble à chaussures» est manifestement erroné."
Vidaxl ensemble table et chaises de salle à manger 5 pcs en simili cuir,Table,knn_conformity,Chaise,1.0,nature,Libellé = «ensemble table et chaises 5 pcs» : l’article comprend une table (et est souvent classé comme Table). La prédiction 'Chaise' néglige la présence de la table.
Tosel dublin applique acier anthracite 1xe27 abat jour bol acier anthracite 100 x 11 cm anthracite,Applique,knn_conformity,Drap plat,0.25,nature,"Le libellé contient explicitement «applique» et des indications typiques d’un luminaire (1xE27, abat-jour, bol, dimensions) — ce n’est pas un drap plat."
Waldbeck greenshelter m serre d hivernage 240x200cm tubes d acier 25mm pvc armé,Serre de jardin,knn_conformity,Drap housse,0.2,nature,"Le libellé mentionne explicitement «serre d'hivernage» avec dimensions, tubes acier et PVC armé — équipement de jardin/serre, pas un drap-housse."
Gde lot de 2 filtres lavables compatible aspirateurs dyson dc58 dc59 dc61 dc62 v6 v8 remplace 965661 01,Pièces détachées,knn_conformity,Accessoire aspi,0.45,nature,"Il s'agit de filtres de remplacement (référence remplacée 965661-01) pour aspirateurs — ce sont des pièces détachées de rechange, pas un simple accessoire."
Plat à four rectangle 25 x 17 cm gusto anthracite,Plat a cuire,knn_conformity,Couette,0.15,nature,"Le libellé décrit clairement un plat à four rectangulaire (dimensions 25×17 cm, couleur anthracite) — correspond à 'Plat a cuire'. La prédiction 'Couette' (édredon) est incompatible."
Compactor black édition taille m,Housse de rangement,knn_conformity,Refrigerateur,0.15,nature,"Compactor est une marque connue pour housses et sacs de rangement; «black édition taille M» indique un article textile de rangement (housse), pas un réfrigérateur."
